t,AR1_a,AR1_b,AR1_c,AR2,ARIMA_110,ARMA_11_a,ARMA_11_b,ARMA_22,MA1_a,MA1_b,MA2,EX1_a,EX1_b,EX1_c,EX1_d
27,-1.10360065,0.29867616,1.364899399,-0.929509342,1.294421217,-1.90677366,-1.887757816,1.827179563,0.075010683,0.466668096,0.695949516,-0.005218873,1.307499331,-2.730267221,0.431759235
28,-0.110652481,0.377893012,-1.854150864,-1.698780407,1.833931128,-3.294960486,-3.209292115,2.930838277,-0.394284448,0.560512321,1.477254484,-1.842168037,-1.499550692,-0.370749029,-0.578112037
29,-0.122058099,1.297898718,2.038749593,-1.315013811,1.904275395,-3.798232939,-1.857650931,3.918969829,-2.38790355,-0.810971752,1.589125865,0.037329114,0.164149278,0.538838606,-1.100743061
30,0.874211436,0.736888562,-2.235665904,0.405917054,2.64344533,-0.796244826,0.308212827,5.066059122,-2.702120053,-1.513327907,2.063780713,2.299810901,1.230823471,-0.174953196,1.469015878
31,-0.399768287,0.302400996,1.931382328,-2.539217374,3.64361049,1.096520768,2.715649891,6.506105325,0.931660795,1.363818777,3.822535427,0.832731705,-0.06720204,0.282466403,0.401458083
32,0.694247848,1.193775121,-1.875177153,-0.201729591,3.554953892,2.960079861,1.554410843,7.042356029,1.256220887,2.033140065,2.729120767,0.773541199,-0.731380529,-0.439497901,0.301829951
33,-0.134172657,-0.185675204,-0.40559441,0.130559855,2.794264775,2.46602441,2.023001648,6.113864029,1.578713269,1.270848445,2.751404833,-0.228665612,1.158622597,-0.313645986,0.372644559
34,-0.084510505,0.19522293,1.268426239,-0.307749707,2.702433268,1.236028548,2.337126749,6.552379752,2.297685888,0.592822467,-0.457946119,-0.047549553,-0.00870187,-1.831160747,-0.72038069
35,0.319105243,1.303769071,-0.533559802,0.662406914,3.415867288,0.51203356,1.535665128,6.383563774,1.39642135,0.573932607,0.169716167,2.090133354,0.263248769,-3.085762889,0.881580322
36,1.460456866,0.327006083,0.915532103,0.035929321,3.731581488,-0.983628355,1.845482234,8.379172007,2.18559699,0.443089179,-0.512297528,0.627008476,0.141367541,-2.623733743,0.947600232
37,0.186881961,-0.912612627,-0.400182674,2.607329479,4.802117734,-2.027848043,1.01075504,7.764190861,-0.291332918,0.133112378,-0.345861812,-1.780911271,1.061243324,-2.116343573,-0.61192698
38,0.787997382,-1.016206095,-1.491873268,-0.166929412,5.842545362,0.430448956,-1.764239537,6.871400826,-1.882118182,0.248621564,0.118673759,-0.014147074,-1.329841035,0.557666191,-0.998409777
39,-1.189701603,-0.644490931,2.934713351,0.255093566,5.854775546,0.729172998,-3.289877118,5.985188032,-0.801274105,-0.876411699,-2.188590152,2.04825747,0.645043106,2.533294715,1.283403116
40,-1.462844463,0.950334768,-1.358836034,0.834295867,6.203233348,1.432095784,-2.883226604,4.87509423,-1.172754675,1.79494305,-0.413033285,-0.189264821,0.439078319,1.469319458,0.389626257
41,-0.606916141,1.473367084,1.907275527,-0.914739948,5.282944932,0.449542599,-3.143141961,5.257306864,-0.994184422,2.242695051,0.193617364,0.947149943,-1.640269266,0.776190274,-0.703716567
42,0.165546462,-0.503303226,-1.617900803,0.889214012,6.163795585,-2.219938995,-4.062629861,2.963994187,-2.288039124,0.229969115,1.043652424,0.763210572,1.498412846,0.959726753,1.854116411
43,0.492277097,-1.306815129,2.30911514,0.844336641,8.672705875,-2.637873612,-3.564547352,0.846581258,-3.083437689,1.062164595,-0.437010963,-1.374523552,-1.230055779,0.827918889,-1.644036131
44,-0.904254991,-1.225715009,-1.856631671,2.694498334,9.810830573,-0.808347187,-2.761984038,-0.129645488,-0.522942174,0.100475536,0.195565806,-1.478110927,1.451141933,0.700022068,0.74573457
45,-0.694051685,-0.647481522,-0.309956163,-0.096626001,9.449570765,1.122152754,-1.873902035,0.111158227,0.730145606,1.334803656,0.552146408,-2.197526276,-0.136715872,1.460399981,-2.439619932
46,-0.047413086,-1.247472339,1.405917091,-0.681578696,9.802534508,2.914525321,-1.248450821,1.553441673,1.497181461,0.632321551,1.447227045,2.450957455,0.37673115,0.629542572,0.970495258
47,-1.190118639,0.485421268,-1.972469349,0.565883621,9.87925815,0.79628237,-1.943476871,-0.299629382,0.70864328,-2.558114988,1.504765353,0.552957395,-0.069558817,-0.519487141,1.211967631
48,0.115322082,0.323054288,1.929392592,0.767591461,12.3269101,1.614890837,-0.886246527,0.593785241,-0.652162758,-0.028775318,-0.121650788,-1.987356691,0.803239518,0.120854376,-1.020978472
49,0.193404855,-1.191836628,-1.52499899,-0.865029755,13.75626126,1.281411429,0.975251117,1.1378515,-0.728800128,1.95070065,-1.52465905,0.299055274,0.574476896,-0.908408664,-0.671393327
50,0.42531315,0.668386575,1.619618907,0.515216928,15.30361132,0.575439453,2.372979332,3.526451394,-1.295289802,-0.09497884,-0.347149472,0.347496661,-0.076223172,-0.782638419,1.17642206
51,0.655938836,2.275867074,-1.282104496,-0.981104267,16.26002352,0.930580851,1.225113041,4.550728033,-0.517567878,-1.874964758,0.13061212,-0.845644503,-0.927074284,-0.359759589,-1.172860353
52,-0.585355602,-0.464523448,1.784892873,-1.126012719,16.09059762,-0.008529196,0.989048184,7.044387288,-0.979586323,-2.68075256,-0.152284012,-1.005553441,0.584806517,0.49865693,0.671805567
53,0.392831061,0.077877091,-1.596581035,-1.354380441,16.17773439,-2.413962066,-0.207337143,6.048579975,-0.447510213,-1.369730086,0.297482345,-2.972170578,1.267690002,1.702734399,-1.870806269
54,0.636470844,0.333308434,0.107019811,0.439858143,14.42505782,-2.927093328,-1.886277289,5.361937286,0.21877032,-1.9953367,2.302090657,-0.470842561,-1.366450307,1.720764386,-0.542793281
55,1.70983272,2.004205961,-0.263901839,0.875420051,14.83900674,-1.911722388,-3.254651782,4.171355629,0.632570491,-1.914825165,2.953566823,-0.49502017,1.78180029,1.101223289,0.252161341
56,-2.056719583,0.493749267,-0.039621047,2.477145337,15.24062943,-2.000430092,-5.772229821,3.401387971,1.867733525,-0.325108689,0.173327658,0.824022658,-0.201034136,0.988433561,-0.808715662
57,-0.056794986,0.088805056,0.165484816,0.950237757,17.65421471,-2.569277026,-4.341205183,3.055035759,0.582140344,0.953662495,-3.07773735,2.669885468,0.955123612,1.654890427,1.879888531
58,-2.381671577,0.279653962,-1.349691557,1.541306782,19.57787541,-1.671754545,-2.850871794,3.218567608,-0.762691342,-0.306651594,-2.920823379,-0.922948223,-0.770501288,1.544031991,0.23638529
59,-2.224630766,-0.240413588,0.785800506,-0.694097577,20.0221254,-0.979488784,-3.022754042,2.825949846,-0.390299573,-0.615580636,-1.773824342,-0.641767867,0.835551666,-0.271466044,-1.24387053
60,-1.318226693,0.414200517,0.144175227,0.666636327,20.89940175,-0.223675913,-3.004429691,3.282315401,-0.69581172,0.18078658,1.680696385,1.879501729,-1.554905084,-1.200334949,0.966089254
61,-0.965678821,1.301796383,-0.100963662,-0.77310066,20.49166992,0.029495707,-2.287713501,3.454927824,1.075710844,1.87189528,-0.00956262,0.623792608,1.683684358,0.670933289,0.631437121
62,-0.848767156,0.693839315,1.663362113,-1.162026462,18.99339743,-0.916274265,0.040906533,3.067851692,1.218395213,0.072812275,-1.265917337,-0.030649199,-2.233337237,0.918802458,-0.202810831
63,-1.470118532,1.307712508,-0.319733218,0.1796423,18.38588017,0.300192486,2.834153778,1.603079312,0.817889995,-2.179436378,-1.597127782,1.291886747,0.932851335,1.271975858,0.223822919
64,-1.909711138,0.58239358,0.248522753,-2.570208317,17.57807794,1.603661383,2.260525104,1.722629583,1.073437588,-2.808195579,-1.405209361,0.233364915,-1.736275399,2.036980725,0.998354079
65,-0.614919162,2.270102823,0.552370571,-2.213622543,17.09450195,2.400617313,-0.378561642,1.515408016,1.718388553,-0.551628468,-0.312266443,-1.555082731,0.738142582,2.195289099,-1.068015054
66,-1.849929599,-0.154297219,-0.936126542,0.06159668,16.87869769,0.556594845,-2.766440186,2.618943459,0.923523778,0.27332312,-1.973904127,0.927790706,0.463432595,1.170396338,-0.178406534
67,-0.305714374,0.558080541,-1.644134317,-0.733105669,16.15969418,0.624922326,-4.525126605,1.547315844,-2.845265998,0.73601479,-1.795179374,-0.256865346,-0.761624109,0.291902424,1.164527664
68,-0.352149717,-0.679846431,2.531310604,-0.192400885,15.15962334,-0.822819213,-2.537917636,2.856309173,-1.533255203,0.322412395,0.206666964,-1.45628005,0.538712894,-1.179759496,-1.766563013
69,0.408239586,0.274830185,-2.506762179,1.066055134,14.42440222,-1.874946122,-0.651138283,1.219154159,-0.5462958,0.308590293,1.820549018,0.942596676,-0.893021124,-0.885950417,0.830700739
70,0.170065402,-0.564626225,0.904535503,0.954511207,15.16135655,-2.763923196,-1.358173713,2.209329189,-0.329520645,0.460074929,3.185954153,0.322870551,1.255325167,-1.182460419,-0.124424218
71,-1.682843215,-0.345706575,-0.457700807,1.857204137,14.07996235,-4.552408422,-2.277529714,1.862935033,-0.575979139,0.15807313,2.028304654,1.417923843,-0.072625162,-1.593303665,0.482760061
72,-1.118643218,-0.287805077,1.232099661,0.757002375,14.02507201,-2.013282424,-1.168376438,2.913758928,-0.873585777,-0.608837469,1.220363745,0.787774313,-0.151174215,-1.992067786,0.790649019
73,0.073946512,-1.582191898,0.220924558,-0.383709192,14.32508818,-0.950301606,0.078018269,3.362492329,-0.62955422,0.888231785,1.861810926,-0.209773647,0.738289421,-1.846293691,-0.244740385
74,0.44527037,0.3958968,-0.435846432,1.084300005,15.56819772,-1.181558888,-0.069438881,3.940031136,-0.688940931,0.351431586,0.624425039,0.761943937,-0.995709049,0.203686863,0.098146877
75,1.186237598,0.392724832,0.39173897,0.553395861,16.00987952,-1.238225546,-1.025171586,3.396228908,-0.851393269,0.423299346,0.890471728,1.666773776,1.849671002,0.735955675,0.631679413
76,1.165195668,-0.64521785,0.247479822,1.207998897,16.64490741,-0.549715155,-2.207076665,2.73503755,-1.50763373,0.564697417,0.838260055,0.878553976,-0.877452556,0.56352585,0.843272278
77,-0.482226853,-2.197661086,-1.075334885,-0.570658411,17.29302293,1.463909246,-0.32115986,2.488876961,-0.590636733,1.880307968,1.47902989,-1.460289992,1.719423221,-0.266502797,-0.22517591
78,-0.657956887,-2.413269081,1.972447197,1.373026167,17.13937222,3.359695929,2.116620402,1.152863316,-1.059400344,1.780128649,2.370305267,-1.192644508,-0.767371259,-0.007357455,-1.179731994
79,0.991674238,-1.739912749,-1.672593423,0.655231029,18.25504959,1.672788647,4.359927492,-0.146352303,-1.258263914,0.089037223,-0.105586172,2.242406694,0.820633003,1.057528914,0.337173501
80,0.730427337,-1.704049581,2.326282488,0.063069944,20.08485864,-0.946587259,4.472649402,0.970168625,-0.528380356,-0.211763646,-1.355561542,1.13651573,-2.554233694,0.851933297,1.813961671
81,0.494858794,-0.071686927,-2.182839066,-0.102552184,21.88295771,-2.759851777,2.932323598,-0.541388171,-0.878897352,-0.13079858,-1.792070088,-0.703941139,1.360804123,0.940518888,-1.220065914
82,1.618183899,0.873419479,-0.545088236,-0.596652575,24.54865061,-3.665351363,1.072894184,-1.55425623,1.231951496,-2.166031622,-1.167606542,2.000789047,-0.607304883,0.109474727,0.864789197
83,1.136817576,0.843092109,-0.398067962,0.286578518,26.70655277,-0.86640619,-0.111370198,-2.253590445,-0.475122279,0.442886237,0.625881716,1.333091552,0.022812869,0.692319046,0.880086074
84,-0.180823822,0.536289601,0.183696922,-0.957083568,26.72470187,0.467480696,0.207399919,-0.610592959,-1.464335985,2.082317491,-1.476954751,-0.154585257,-0.297991991,1.239865928,0.182093255
85,1.426737309,0.742536339,2.847918798,1.566594242,26.16232591,-0.558303844,1.855161382,1.098308941,-1.184166536,-0.128287944,-0.541932864,-0.294320918,-0.175296552,1.911167582,-0.40355055
86,2.955351208,-0.91098796,-2.097555761,-0.928940734,24.60028771,-1.35745001,2.999555583,1.686854847,-2.308342252,-0.077962423,-0.54685413,-0.707045708,1.759003763,1.899401936,0.222351834
87,1.197019901,-0.754808134,0.536574063,-0.050386503,23.18966416,-0.040590652,3.250542579,2.156027315,-1.118547985,0.471100439,1.925180213,-0.409667116,-2.128258721,1.15055414,-0.996039069
88,1.629299221,0.184841265,-3.060919787,-2.653342531,21.72292336,0.773473147,4.15057379,1.141304553,2.151425335,-0.987621869,0.300422263,0.032755283,1.249513819,-1.696874119,0.882992167
89,-0.227808333,1.11843058,1.076488127,-0.651882533,20.88499474,0.280110826,5.329263443,0.25147125,3.172488688,0.810251767,-0.454082617,-1.844376841,-0.985353895,-2.954734021,-1.106269896
90,-1.565716409,3.296340061,-0.504950336,-0.304949145,19.47131593,-0.73869959,5.173004589,-0.744745471,1.320923658,0.645697343,-1.189858521,-1.105759654,1.004047737,-1.624958546,-0.410623579
91,-0.827185605,0.042132,1.03166738,-0.297712372,18.78113741,-1.680233132,3.429705643,-1.807721096,-0.506335221,0.034635445,0.071674886,-0.896429391,-0.614367994,-0.610622573,-0.563085104
92,-1.83159307,-1.15870521,-1.30579141,-1.498662103,17.71244566,0.608801259,3.436642682,-1.285800579,1.520213045,0.515021234,-0.181457967,1.166840843,0.441345901,-0.077884996,-0.155880572
93,1.240691092,-2.843487931,2.609452832,-1.963034014,18.83851787,2.329220985,3.757012443,-2.894116636,1.399556258,-0.751201864,-1.62368883,0.868841047,-1.848496353,-0.186263854,1.379385529
94,1.089104251,-2.306062494,-1.688934281,-1.77280049,20.23086868,3.876179746,4.813442436,-3.79849283,-1.079017722,-1.681904011,-2.024112695,-1.057814683,1.846634835,1.471445165,-0.917851364
95,-0.462154231,-0.730329199,1.058774144,-3.328125948,21.97645339,2.908677833,4.617555086,-6.117700821,-2.070610119,-0.699800152,-0.08618769,-0.268357983,-0.960163846,0.843521381,0.124852623
96,1.883224438,-0.177486626,0.460027422,-1.58003855,23.40798958,1.18368549,2.348365806,-5.813848568,-1.670004232,0.546960068,0.827804363,0.216442911,0.283795612,-0.345294359,-0.426757613
97,0.341787984,-1.105024108,-1.691850191,-3.440134455,25.94908737,-0.492586515,1.685311462,-6.92885276,1.200872727,0.419481892,1.690920082,1.660074103,0.447819127,-0.752797888,0.771933672
98,0.186808376,2.713897327,3.274840091,-2.034484429,26.83800959,-1.059761335,1.05496885,-5.915661157,2.420219449,0.75024389,0.349003194,0.189852341,-1.120703907,-0.364386088,0.661180837
99,-0.074473574,2.027919965,-2.119008869,0.17037143,26.9097182,-0.289256898,1.0140705,-4.796310118,1.426123013,0.758547446,-0.627554699,-0.146315809,1.282636916,0.200883052,-0.675091831
100,0.00332561,3.556812917,0.973293833,-1.567762172,28.3850256,1.421315415,-0.465569506,-3.471417114,-1.190810156,0.746375868,-1.510354868,0.222738107,-1.690112877,0.332927601,0.721987221
101,0.481806635,4.137733979,-1.451968839,-0.150945702,28.61951368,2.096427762,-3.321678569,-2.412951218,-1.581004285,-1.075673222,-1.84533932,0.333937722,-0.372253893,-1.262933556,-0.713752537
102,-0.905948047,4.593564392,1.737162312,-0.958968638,28.55282579,1.995921049,-3.187239738,-2.821908538,0.87456813,-0.164689653,-0.091099222,1.704016865,1.454122194,-1.061559604,1.255642519
103,-0.029233041,1.888869077,-0.790853302,0.25379756,28.12000513,2.656496338,-1.735965692,-2.086700672,0.559685583,-0.383568112,0.374984572,0.825302166,-0.469791165,0.087051196,0.075732365
104,-1.284726041,0.452771732,-0.103409019,-1.013621588,27.54031986,3.356511482,-0.286030621,-3.433785237,-0.933026505,-0.939609157,-0.873596942,1.036674342,0.518989288,0.133495533,0.716319054
105,-1.015775432,1.112236517,-1.066762929,-1.807807679,26.9133954,2.694073354,-1.635322683,-3.343854224,-0.493538431,-0.384289399,-0.099110162,0.042094697,1.07762213,0.764825551,0.09943673
106,-0.471926475,0.202800544,1.321148488,-0.445622487,27.03142905,0.886426376,-1.50705095,-5.215449039,-0.667631919,-1.710762326,0.584657337,-2.121565579,-2.494251183,-0.064370821,-0.097347664
107,-1.845624375,1.672606138,0.075892832,1.314049948,26.92491876,1.381397324,0.843659311,-5.333901962,-0.922145489,-1.088247604,0.548674878,-2.333075702,2.123246969,-0.060709805,-2.00109529
108,-0.746393592,-0.020764563,-0.863638006,-0.048503076,26.35505512,1.588296727,2.547342064,-4.685813275,2.11126669,-0.499579808,0.099690867,1.149817617,-4.102261303,-0.69252774,0.266280814
109,0.622035544,0.371772784,1.83188955,0.006700805,27.35617577,2.733038834,3.546731736,-3.065639767,2.46703661,-0.982426034,0.909051697,0.358892707,4.725737298,-2.386517032,0.822629831
110,0.63204056,0.949641929,-0.387659016,-1.140455493,27.74226874,2.06449812,5.497946082,-2.636912675,1.689593845,-0.985704467,0.516318924,-0.958223112,-4.659482888,-0.883934083,-0.703700246
111,-0.477772412,-2.880717266,1.700294874,-0.799219132,27.794368,-0.020851196,4.421598478,-3.267099145,1.048498869,0.912730619,0.130925489,-0.341143637,2.421147984,1.002831023,-0.048226177
112,0.512222338,-2.030671096,-0.559839819,-0.172222145,27.72543681,0.002954016,1.936508042,-4.441562033,-0.415972693,-0.511627845,0.09310493,1.466849091,-2.814117379,1.587954421,-0.273819297
113,-0.213733467,-2.827336408,0.697953744,1.833769141,28.39674441,-0.399023815,1.550757722,-5.432572237,0.29345035,-0.970737292,0.887790813,0.838719198,1.086913444,2.579352469,1.825611593
114,1.381936222,-2.414900577,-1.110730558,0.861400831,28.72596456,0.064598329,0.72043133,-5.306127949,-0.959155891,-2.601192399,0.127592149,-2.065948299,-2.851878435,0.15322178,-1.530438971
115,0.63319076,-1.714205778,0.578601298,1.615199783,28.88586248,-1.365828031,0.09700836,-6.055109579,0.280810619,-2.157346346,-0.507325067,0.11325829,1.291558513,-1.008608431,-0.092565302
116,0.101450888,-1.863915025,0.122488628,1.242746448,28.30014075,-3.423921816,0.883735165,-2.915960131,0.953586473,-0.905798777,-0.450939632,0.517149971,-1.184931412,-3.488883048,0.240803739
117,1.056000956,-1.497984542,-0.821779163,-0.236130303,27.62443745,-2.235763957,0.575685289,-1.976327265,-3.199712147,1.241547477,-0.094309955,0.352357309,1.86045192,-1.540650577,0.208636041
118,0.750440114,-0.67567042,0.831071511,0.032745827,27.2791759,-0.66559311,0.660083072,-1.223595551,-3.286938111,-0.036622592,-1.667628678,-0.037141696,-1.080691728,-0.675102103,0.080987885
119,-0.276797127,2.260443376,-0.239172409,-1.346478825,26.48312449,0.637193431,1.537949881,-1.660507957,-1.109167987,-1.449390376,-2.871249975,-1.656415352,-0.377630993,-1.211215142,-0.144583592
120,1.198591048,0.976362245,-1.435602268,0.481989462,26.53698983,-1.198395669,0.808567011,-1.714450323,1.658105021,-1.92093734,-2.333532028,-0.796402916,-0.340589618,-1.750863083,-1.470345385
121,-0.657352669,0.461903899,1.393518565,-0.812895207,25.05091496,-0.514581089,-0.91523666,-1.739189864,1.512384844,-0.658772604,-4.473676499,1.768482789,2.202715383,-2.309635971,1.115547569
122,-1.143604982,-0.327326316,-1.851743047,-0.468689099,24.46582789,1.498035597,-0.454464491,-1.309487141,-1.547020761,1.261975088,-2.834963877,-0.306036409,-1.351972942,-3.41655211,0.333225146
123,-0.943025007,-0.041670053,1.555112725,-1.059694377,22.57832583,2.531137034,0.150128673,-0.849903085,-1.473934209,-0.506078417,-3.730881053,-0.04358493,-0.209770967,-3.251678359,-0.742907476
124,-0.149777197,-0.0175863,-2.091125787,-0.684391714,21.14484847,2.821126639,0.723698491,0.622197233,-1.13052061,-1.144844568,-0.691638992,0.087410585,2.802862148,-1.695086905,0.917023348
125,-0.126372228,1.256077546,0.637217635,0.521935505,19.75648214,4.195954625,0.240074432,0.406449936,-2.294836128,1.110873968,-1.707508074,-0.655792688,-1.755217431,0.843259065,-1.099876413
126,0.3010647,0.508623575,0.091285926,0.433199767,18.27136757,2.118799685,0.878260206,2.444498741,-1.927528621,0.135487771,-1.418362346,0.132822795,2.258066262,2.098472326,0.767298093
127,0.806678628,0.387205211,-0.390543745,-0.931590162,17.32340205,-0.03872896,0.253603195,1.072928623,-2.390816459,0.274933772,0.006016712,-2.502634097,-0.718010304,0.434658418,-0.85704024
128,0.024047318,0.296564377,1.82334892,-1.249859628,14.84026331,0.094934682,0.02804584,1.583316599,1.198991307,0.800810868,-0.929629855,0.201805864,0.800422201,-1.257272157,-1.392342523
129,2.098557883,0.205570706,-0.919056032,0.520210205,14.52696338,-0.545158835,1.02237771,0.922724569,2.42538507,-1.071693798,-0.308472076,2.722142138,-0.572138923,0.455642323,2.018491177
130,-1.375227785,1.527397165,0.522534629,0.856748568,12.67401098,-0.645035678,1.410837245,2.753845733,0.847667005,0.433650457,-0.745354385,-0.042082583,-0.527104394,1.494477765,0.11534705
131,-1.790785894,0.497444645,-2.208534858,-0.106702754,11.09870914,0.401996982,1.983787778,1.664229105,-0.651376809,1.525306825,-0.097088827,1.163494428,-0.889170906,-0.024692717,-0.203596939
132,0.04729636,1.891508386,0.806966061,-0.656089989,9.037607935,-0.039353288,2.452763387,0.463304645,0.374521306,-0.011098098,0.537875761,-0.529522699,3.17539206,1.863113775,1.421235382
133,0.169940025,0.056026875,-0.355325203,-1.513626116,7.050128209,0.30665748,1.603066778,0.866601639,1.558662319,-1.19691496,0.735126718,-2.133277438,-3.205741718,2.362532422,-2.378560259
134,0.310243814,1.227718107,-1.009969057,-1.088611161,7.944806919,1.062456715,0.568090796,1.673511076,-0.520923722,-0.932814491,0.574775246,-1.256808682,3.477456023,2.284867852,0.943922763
135,0.596677098,-0.066037841,0.513613604,2.217862027,8.499009765,0.105699288,0.626953169,3.222821438,-0.858639063,0.579812364,0.317356556,-0.560824181,-1.817300592,2.192044347,-2.467586739
136,-0.259338489,1.346191955,-0.829361797,0.545264701,7.545230942,-1.337324824,-0.559387863,2.298923047,-0.485821798,-0.075811231,0.138527947,1.81459434,3.061843411,1.275624378,2.645760119
137,-0.719749081,2.483077248,1.385225444,-0.509313106,5.332358113,-0.325194114,-2.250486166,4.157197118,0.966996156,-2.212754887,0.018630567,-2.933666851,-0.614075204,0.247801042,-1.600857178
138,-0.267171584,0.344036032,1.149362249,-0.648169635,4.454821518,0.12340567,-0.342072865,4.131772001,0.865711991,-1.267427902,-1.063498973,-1.359858102,1.193722896,-1.37482668,-0.866991802
139,-0.519700362,-0.209328462,-1.481502695,-0.072877229,3.909739728,0.711523591,-0.918917568,5.408707861,0.954310557,0.686161183,0.285267546,-1.030019124,0.262875762,-2.809581622,-0.223979829
